codusu,nro_hogar,componente,ano4,aglomerado,pondera,ch04,ch06,ch07,ch08,ch09,ch10,ch11,ch12,ch13,ch14,ch15,ch16,nivel_ed,estado,cat_ocup,cat_inac,pp02c1,pp02c2,pp02c3,pp02c4,pp02c5,pp02c6,pp02c7,pp02c8,pp02e,pp02h,pp02i,p21,decocur,rdecocur,gdecocur,adecocur,tot_p12,p47t,decindr,rdecindr,gdecindr,adecindr,v2_m,v3_m,v4_m,v5_m,v8_m,v9_m,v10_m,v11_m,v12_m,v18_m,v19_am,v21_m,t_vi,itf,decifr,rdecifr,gdecifr,adecifr,ipcf,deccfr,rdeccfr,gdeccfr,adeccfr,pareja_actual,tiene/busca_trabajo,cobertura_m,cobertura_m2,nivel_ed_or,inac_eco,inac_neco,PEA,PET,desocupado,edad_grupos
126225  ,1.0,1.0,2004,32,2287.0,1,45.0,1.0,12.0,1,2,9.0,6,1.0,  ,1,1,6,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000.0,10,10,10,10,0.0,5500.0,10,10,10,10,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,5755.0,10,10,10,10,806557.0633749999,10,10,10,09,1,1,1,1,6,0,0,1,1,0,"[40, 50)"
126225  ,1.0,2.0,2004,32,2287.0,2,41.0,1.0,2.0,1,2,9.0,6,2.0,02,3,1,5,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,01,01,01,01,0.0,100.0,01,01,01,01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5755.0,10,10,10,10,806557.0633749999,10,10,10,09,1,1,1,0,5,0,0,1,1,0,"[40, 50)"
126225  ,1.0,3.0,2004,32,2287.0,2,21.0,5.0,12.0,1,1,1.0,7,2.0,01,1,1,5,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,01,01,01,01,0.0,100.0,01,01,01,01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5755.0,10,10,10,10,806557.0633749999,10,10,10,09,0,1,1,1,5,0,0,1,1,0,"[20, 30)"
126225  ,1.0,4.0,2004,32,2287.0,2,18.0,5.0,12.0,1,2,9.0,4,1.0,  ,1,1,4,2,3.0,0.0,No,Sí,Sí,No,No,No,No,No,0.0,0.0,0.0,0.0,  ,  ,  ,  ,55.0,55.0,01,01,01,01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5755.0,10,10,10,10,806557.0633749999,10,10,10,09,0,1,1,1,4,0,0,1,1,1,"[10, 20)"
126247  ,1.0,1.0,2004,32,1385.0,1,31.0,2.0,4.0,1,2,9.0,4,2.0,02,4,1,3,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,09,09,09,07,0.0,1000.0,09,08,09,07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,09,08,09,07,317670.8966666666,08,08,08,06,1,1,0,0,3,0,0,1,1,0,"[30, 40)"
126247  ,1.0,2.0,2004,32,1385.0,2,19.0,2.0,4.0,1,2,9.0,4,2.0,04,4,1,3,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,05,04,04,03,0.0,400.0,05,04,05,03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,09,08,09,07,317670.8966666666,08,08,08,06,1,1,0,0,3,0,0,1,1,0,"[10, 20)"
126247  ,1.0,3.0,2004,32,1385.0,2,22.0,5.0,4.0,1,2,9.0,6,1.0,  ,4,4,6,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,04,03,03,02,0.0,300.0,04,03,04,02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,09,08,09,07,317670.8966666666,08,08,08,06,0,1,0,0,6,0,0,1,1,0,"[20, 30)"
126326  ,1.0,1.0,2004,32,1724.0,1,54.0,2.0,1.0,1,2,9.0,7,1.0,  ,3,1,6,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1700.0,10,10,10,09,0.0,1700.0,10,10,10,09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2700.0,10,10,10,09,504536.12999999995,09,09,09,08,1,1,1,0,6,0,0,1,1,0,"[50, 60)"
126326  ,1.0,2.0,2004,32,1724.0,2,52.0,2.0,1.0,1,2,9.0,7,1.0,  ,1,1,6,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,09,08,09,07,0.0,1000.0,09,08,09,07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2700.0,10,10,10,09,504536.12999999995,09,09,09,08,1,1,1,0,6,0,0,1,1,0,"[50, 60)"
126326  ,1.0,3.0,2004,32,1724.0,2,12.0,5.0,1.0,1,1,2.0,2,2.0,06,1,1,1,3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,0.0,  ,  ,  ,  ,0.0,0.0,00,00,00,00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2700.0,10,10,10,09,504536.12999999995,09,09,09,08,0,0,1,0,1,1,0,0,0,0,"[10, 20)"
126768  ,1.0,1.0,2004,32,1912.0,2,51.0,5.0,1.0,1,2,9.0,7,1.0,  ,3,1,6,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,10,10,10,10,0.0,3000.0,10,10,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,10,10,10,09,1681787.0999999999,10,10,10,10,0,1,1,0,6,0,0,1,1,0,"[50, 60)"
127045  ,1.0,2.0,2004,32,1452.0,2,62.0,4.0,4.0,1,2,9.0,4,1.0,  ,3,1,4,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Se cansó de buscar trabajo,Sí,Sí,0.0,  ,  ,  ,  ,0.0,360.0,05,04,04,03,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,360.0,360.0,02,02,02,01,100907.226,04,03,04,01,0,0,0,0,4,1,0,0,1,0,"[60, 70)"
127045  ,1.0,3.0,2004,32,1452.0,1,32.0,5.0,4.0,1,2,9.0,4,2.0,02,1,1,3,2,2.0,0.0,No,No,No,No,No,Sí,No,No,0.0,0.0,0.0,0.0,  ,  ,  ,  ,0.0,0.0,00,00,00,00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,02,02,02,01,100907.226,04,03,04,01,0,1,0,0,3,0,0,1,1,1,"[30, 40)"
127065  ,1.0,1.0,2004,32,2081.0,1,29.0,5.0,12.0,1,1,2.0,7,2.0,04,3,1,5,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3340.0,10,10,10,10,0.0,3620.0,10,10,10,10,0.0,0.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,3620.0,10,10,10,10,2029356.434,10,10,10,10,0,1,1,1,5,0,0,1,1,0,"[20, 30)"
127406  ,1.0,1.0,2004,32,1719.0,2,64.0,4.0,1.0,1,2,9.0,2,2.0,03,3,1,1,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,0.0,  ,  ,  ,  ,0.0,502.0,06,06,06,04,502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.0,622.0,05,04,04,03,174345.2627,06,06,06,03,0,0,1,0,1,1,0,0,1,0,"[60, 70)"
127406  ,1.0,2.0,2004,32,1719.0,2,49.0,5.0,1.0,2,3,0.0,0,0.0,  ,3,1,7,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,0.0,  ,  ,  ,  ,0.0,120.0,01,01,01,01,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,622.0,05,04,04,03,174345.2627,06,06,06,03,0,0,1,0,0,1,0,0,1,0,"[40, 50)"
127890  ,1.0,1.0,2004,32,1289.0,2,49.0,9.0,4.0,1,2,9.0,4,2.0,04,1,1,3,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,0.0,190.0,02,02,02,01,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,340.0,02,02,02,01,38120.5076,01,01,01,01,0,1,0,0,3,0,0,1,1,1,"[40, 50)"
127890  ,1.0,2.0,2004,32,1289.0,1,22.0,5.0,4.0,1,1,1.0,7,2.0,02,1,1,5,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,150.0,150.0,02,01,01,01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,02,02,02,01,38120.5076,01,01,01,01,0,1,0,0,5,0,0,1,1,1,"[20, 30)"
127890  ,1.0,3.0,2004,32,1289.0,1,20.0,5.0,4.0,1,1,2.0,4,2.0,00,1,1,3,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,0.0,0.0,00,00,00,00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,02,02,02,01,38120.5076,01,01,01,01,0,1,0,0,3,0,0,1,1,1,"[20, 30)"
127890  ,1.0,4.0,2004,32,1289.0,1,19.0,5.0,4.0,1,1,1.0,7,2.0,00,1,1,5,3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,0.0,  ,  ,  ,  ,0.0,0.0,00,00,00,00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,02,02,02,01,38120.5076,01,01,01,01,0,0,0,0,5,1,0,0,1,0,"[10, 20)"
127890  ,1.0,5.0,2004,32,1289.0,1,10.0,5.0,4.0,1,1,2.0,2,2.0,05,1,1,1,3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,0.0,  ,  ,  ,  ,0.0,0.0,00,00,00,00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,02,02,02,01,38120.5076,01,01,01,01,0,0,0,0,1,1,0,0,0,0,"[10, 20)"
128148  ,1.0,1.0,2004,32,1670.0,1,52.0,2.0,1.0,1,2,9.0,7,2.0,03,1,1,5,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00,00,00,00,0.0,300.0,04,03,04,02,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,1120.0,07,07,07,05,156966.796,06,05,05,03,1,1,1,0,5,0,0,1,1,0,"[50, 60)"
128148  ,1.0,2.0,2004,32,1670.0,2,47.0,2.0,1.0,1,2,9.0,7,1.0,  ,1,1,6,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,08,07,07,05,120.0,820.0,08,08,08,06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120.0,07,07,07,05,156966.796,06,05,05,03,1,1,1,0,6,0,0,1,1,0,"[40, 50)"
128148  ,1.0,3.0,2004,32,1670.0,2,15.0,5.0,1.0,1,1,1.0,4,2.0,02,1,1,3,3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,0.0,  ,  ,  ,  ,0.0,0.0,00,00,00,00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120.0,07,07,07,05,156966.796,06,05,05,03,0,0,1,0,3,1,0,0,1,0,"[10, 20)"
128148  ,1.0,4.0,2004,32,1670.0,1,12.0,5.0,1.0,1,1,1.0,2,2.0,06,1,1,1,3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,0.0,  ,  ,  ,  ,0.0,0.0,00,00,00,00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120.0,07,07,07,05,156966.796,06,05,05,03,0,0,1,0,1,1,0,0,0,0,"[10, 20)"
128301  ,1.0,1.0,2004,32,1858.0,1,43.0,2.0,1.0,1,2,9.0,6,1.0,  ,1,1,6,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0,10,10,10,10,0.0,4700.0,10,10,10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4700.0,10,10,10,10,526959.958,10,09,09,08,1,1,1,0,6,0,0,1,1,0,"[40, 50)"
128301  ,1.0,2.0,2004,32,1858.0,2,43.0,2.0,1.0,1,2,9.0,6,1.0,  ,1,1,6,3,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,0.0,  ,  ,  ,  ,0.0,0.0,00,00,00,00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4700.0,10,10,10,10,526959.958,10,09,09,08,1,0,1,0,6,1,0,0,1,0,"[40, 50)"
128301  ,1.0,3.0,2004,32,1858.0,2,13.0,5.0,1.0,1,1,2.0,4,2.0,00,1,1,3,3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,0.0,  ,  ,  ,  ,0.0,0.0,00,00,00,00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4700.0,10,10,10,10,526959.958,10,09,09,08,0,0,1,0,3,1,0,0,0,0,"[10, 20)"
128301  ,1.0,4.0,2004,32,1858.0,2,10.0,5.0,1.0,1,1,2.0,2,2.0,04,1,1,1,3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No,No,0.0,  ,  ,  ,  ,0.0,0.0,00,00,00,00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4700.0,10,10,10,10,526959.958,10,09,09,08,0,0,1,0,1,1,0,0,0,0,"[10, 20)"
128301  ,1.0,5.0,2004,32,1858.0,2,3.0,5.0,1.0,2,1,2.0,1,2.0,00,1,6,7,4,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,  ,  ,  ,  ,0.0,0.0,00,00,00,00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4700.0,10,10,10,10,526959.958,10,09,09,08,0,0,1,0,0,0,1,0,0,0,"[0, 10)"
